,Model Name,Price,CC,Mileage,Weight,Links
0,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
2,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
3,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
4,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
5,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
6,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
7,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
8,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
9,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
10,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
11,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
12,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
13,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
14,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
15,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
16,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
17,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
18,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
19,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
20,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
21,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
22,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
23,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
24,Bajaj Pulsar 150,"₹ 95,872",149.5 CC,65 Km/l,144 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-150
25,Hero Super Splendor,"₹ 73,900",124.7 CC,60 Km/l,123 Kg,https://www.carandbike.com/hero-bikes/super-splendor
26,Bajaj Pulsar 125,"₹ 72,122",124.4 CC,62 Km/l,140 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-125
27,Yamaha FZ S V3.0 FI,"₹ 1,15,900",149.0 CC,45 Km/l,135 Kg,https://www.carandbike.com/yamaha-bikes/fz-s-v30-fi
28,Bajaj Pulsar 220,"₹ 1,23,245",220.0 CC,40 Km/l,155 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-220
29,Bajaj Pulsar NS 125,"₹ 93,818",124.4 CC,N/A,144 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-ns-125
30,Hero Passion Pro i3S,"₹ 67,400",113.2 CC,84 Km/l,117 Kg,https://www.carandbike.com/hero-bikes/passion-pro-i3s
31,KTM RC 125,"₹ 1,80,538",124.7 CC,41.3 Km/l,135 Kg,https://www.carandbike.com/ktm-bikes/rc-125
32,Honda CB Unicorn 160,"₹ 98,931",162.7 CC,62 Km/l,134 Kg,https://www.carandbike.com/honda-bikes/cb-unicorn-160
33,Yamaha MT-15 V2.0,"₹ 1,60,900",155.0 CC,48 Km/l,139 Kg,https://www.carandbike.com/yamaha-bikes/mt-15-v20
34,Yamaha R15 V3.0,"₹ 1,57,600",155.0 CC,30 Km/l,142 Kg,https://www.carandbike.com/yamaha-bikes/r15-v30
35,Hero Pleasure + 110,"₹ 61,900",110.9 CC,69 Km/l,104 Kg,https://www.carandbike.com/hero-bikes/pleasure-plus-110
36,Hero HF Deluxe i3s,"₹ 59,800",97.2 CC,88.5 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe-i3s
37,Hero Xtreme 160R,"₹ 1,11,610",163.0 CC,55 Km/l,139 Kg,https://www.carandbike.com/hero-bikes/xtreme-160r
38,Hero Glamour 125,"₹ 74,900",124.7 CC,60 Km/l,126 Kg,https://www.carandbike.com/hero-bikes/glamour-125
39,Hero XPulse 200 4V,"₹ 1,30,150",199.6 CC,N/A,158 Kg,https://www.carandbike.com/hero-bikes/xpulse-200-4v
40,Hero Maestro Edge,"₹ 65,900",110.9 CC,65 Km/l,112 Kg,https://www.carandbike.com/hero-bikes/maestro-edge
41,Royal Enfield Continental GT 650,"₹ 2,98,079",648.0 CC,25.5 Km/l,198 Kg,https://www.carandbike.com/royal-enfield-bikes/continental-gt-650
42,Revolt RV400,"₹ 1,29,463",NA,150 Km/Full Charge,108 Kg,https://www.carandbike.com/revolt-bikes/rv400
43,Hero Splendor Pro,"₹ 49,598",97.2 CC,65 Km/l,112 Kg,https://www.carandbike.com/hero-bikes/splendor-pro
44,Royal Enfield Scram 411,"₹ 2,03,000",411.0 CC,N/A,185 Kg,https://www.carandbike.com/royal-enfield-bikes/scram-411
45,Kawasaki Ninja H2R,"₹ 79,90,000",998.0 CC,15 Km/l,216 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-h2r
46,Hero Xtreme 200S,"₹ 1,20,214",199.6 CC,36.9 Km/l,155 Kg,https://www.carandbike.com/hero-bikes/xtreme-200s
47,Hero Splendor iSmart,"₹ 65,950",113.2 CC,75 Km/l,116 Kg,https://www.carandbike.com/hero-bikes/splendor-ismart
48,Hero XPulse 200,"₹ 1,18,230",199.6 CC,42 Km/l,157 Kg,https://www.carandbike.com/hero-bikes/xpulse-200
49,TVS XL 100,"₹ 40,990",99.7 CC,67 Km/l,88 Kg,https://www.carandbike.com/tvs-bikes/xl-100
50,Hero XPulse 200T,"₹ 1,15,800",199.6 CC,43 Km/l,154 Kg,https://www.carandbike.com/hero-bikes/xpulse-200t
51,Royal Enfield Interceptor 650,"₹ 2,81,518",648.0 CC,25.5 Km/l,202 Kg,https://www.carandbike.com/royal-enfield-bikes/interceptor-650
52,Hero Maestro Edge 125,"₹ 73,450",124.6 CC,49 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/maestro-edge-125
53,TVS Raider,"₹ 84,573",124.8 CC,67 Km/l,123 Kg,https://www.carandbike.com/tvs-bikes/raider
54,Yamaha YZF R15 V4.0,"₹ 1,70,800",155.0 CC,45 Km/l,142 Kg,https://www.carandbike.com/yamaha-bikes/yzf-r15-v40
55,Yamaha YZF R1,"₹ 20,39,233",998.0 CC,20 Km/l,200 Kg,https://www.carandbike.com/yamaha-bikes/yzf-r1
56,Honda CD 110 Dream,"₹ 65,248",109.5 CC,74 Km/l,109 Kg,https://www.carandbike.com/honda-bikes/cd-110-dream
57,Bajaj Platina 110,"₹ 65,930",115.0 CC,80 Km/l,108 Kg,https://www.carandbike.com/bajaj-bikes/platina-110
58,Bajaj Pulsar 200 NS,"₹ 1,31,219",199.5 CC,35 Km/l,152 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-200-ns
59,TVS Apache RTR 160,"₹ 1,12,940",159.7 CC,48 Km/l,139 Kg,https://www.carandbike.com/tvs-bikes/apache-rtr-160
60,Honda Hornet 2.0,"₹ 1,32,238",184.4 CC,40 Km/l,142 Kg,https://www.carandbike.com/honda-bikes/hornet-20
61,KTM RC 200,"₹ 2,13,000",199.5 CC,35 Km/l,151 Kg,https://www.carandbike.com/ktm-bikes/rc-200
62,Bajaj Platina 100,"₹ 52,915",102.0 CC,96.9 Km/l,117 Kg,https://www.carandbike.com/bajaj-bikes/platina-100
63,Suzuki Gixxer SF,"₹ 1,29,300",154.9 CC,47 Km/l,146 Kg,https://www.carandbike.com/suzuki-bikes/gixxer-sf
64,TVS Jupiter,"₹ 70,085",109.7 CC,62 Km/l,109 Kg,https://www.carandbike.com/tvs-bikes/jupiter
65,Yamaha Aerox 155,"₹ 1,29,000",155.0 CC,N/A,122 Kg,https://www.carandbike.com/yamaha-bikes/aerox-155
66,Bajaj Avenger Cruise 220,"₹ 1,22,630",220.0 CC,40 Km/l,159 Kg,https://www.carandbike.com/bajaj-bikes/avenger-cruise-220
67,Honda Livo,"₹ 70,799",109.5 CC,74 Km/l,115 Kg,https://www.carandbike.com/honda-bikes/livo
68,Kawasaki Ninja 300,"₹ 3,37,000",296.0 CC,26 Km/l,179 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-300
69,TVS Ntorq 125,"₹ 77,106",124.8 CC,60 Km/l,118 Kg,https://www.carandbike.com/tvs-bikes/ntorq-125
70,Yamaha FZ 25,"₹ 1,34,800",249.0 CC,43 Km/l,153 Kg,https://www.carandbike.com/yamaha-bikes/fz-25
71,Honda X-Blade,"₹ 1,11,895",162.7 CC,45 Km/l,143 Kg,https://www.carandbike.com/honda-bikes/x-blade
72,Suzuki V-Strom SX 250,"₹ 2,11,600",249.0 CC,N/A,167 Kg,https://www.carandbike.com/suzuki-bikes/v-strom-sx-250
73,Honda Activa 125 FI,"₹ 72,637",124.0 CC,45 Km/l,111 Kg,https://www.carandbike.com/honda-bikes/activa-125-fi
74,Bajaj CT 100,"₹ 40,794",102.0 CC,89.5 Km/l,114 Kg,https://www.carandbike.com/bajaj-bikes/ct-100
75,Hero HF 100,"₹ 49,400",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/hf-100
76,Suzuki New Access 125,"₹ 72,600",124.0 CC,64 Km/l,103 Kg,https://www.carandbike.com/suzuki-bikes/new-access-125
77,Bajaj Pulsar NS160,"₹ 1,10,086",160.3 CC,45 Km/l,151 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-ns160
78,KTM RC 390,"₹ 3,14,000",373.2 CC,35 Km/l,147 Kg,https://www.carandbike.com/ktm-bikes/rc-390
79,Hero Electric Optima HX,"₹ 55,580",NA,82 Km/Full Charge,73 Kg,https://www.carandbike.com/hero-electric-bikes/optima-hx
80,JAWA Forty Two,"₹ 1,71,415",293.0 CC,37.5 Km/l,170 Kg,https://www.carandbike.com/jawa-bikes/forty-two
81,Yamaha Fascino 125,"₹ 70,000",125.0 CC,66 Km/l,99 Kg,https://www.carandbike.com/yamaha-bikes/fascino-125
82,Bajaj Pulsar 180,"₹ 1,08,000",178.6 CC,45 Km/l,151 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-180
83,Hero Destini 125,"₹ 67,990",124.6 CC,54 Km/l,113 Kg,https://www.carandbike.com/hero-bikes/destini-125
84,Honda CB 350 RS,"₹ 1,96,006",348.4 CC,35 Km/l,179 Kg,https://www.carandbike.com/honda-bikes/cb-350-rs
85,KTM 250 Duke,"₹ 2,28,736",248.8 CC,30 Km/l,169 Kg,https://www.carandbike.com/ktm-bikes/250-duke
86,TVS Apache RTR 160 4V,"₹ 1,11,565",159.7 CC,30 Km/l,145 Kg,https://www.carandbike.com/tvs-bikes/apache-rtr-160-4v
87,BMW G 310 R,"₹ 2,50,000",313.0 CC,30 Km/l,158 Kg,https://www.carandbike.com/bmw-bikes/g-310-r
88,Revolt RV300,"₹ 1,14,264",NA,180 Km/Full Charge,101 Kg,https://www.carandbike.com/revolt-bikes/rv300
89,Yamaha Ray-ZR 125FI,"₹ 73,330",125.0 CC,66 Km/l,99 Kg,https://www.carandbike.com/yamaha-bikes/ray-zr-125fi
90,TVS Radeon,"₹ 59,942",109.7 CC,69 Km/l,116 Kg,https://www.carandbike.com/tvs-bikes/radeon
91,Suzuki Hayabusa,"₹ 16,40,000",1340.0 CC,11 Km/l,266 Kg,https://www.carandbike.com/suzuki-bikes/hayabusa
92,Ather 450,"₹ 1,18,995",NA,100 - 116 Km/Full Charge,108 Kg,https://www.carandbike.com/ather-bikes/450
93,KTM 390 Duke,"₹ 2,87,545",373.2 CC,35 Km/l,167 Kg,https://www.carandbike.com/ktm-bikes/390-duke
94,Yamaha MT-09,"₹ 10,55,354",847.0 CC,19 Km/l,193 Kg,https://www.carandbike.com/yamaha-bikes/mt-09
95,TVS Sport,"₹ 52,500",109.7 CC,76.4 Km/l,110 Kg,https://www.carandbike.com/tvs-bikes/sport
96,TVS iQube,"₹ 1,66,358",NA,75 - 140 Km/Full Charge,118 Kg,https://www.carandbike.com/tvs-bikes/iqube
97,Bajaj Pulsar N250,"₹ 1,38,000",249.1 CC,N/A,162 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-n250
98,Benelli TNT 600i,"₹ 6,20,000",600.0 CC,19 Km/l,231 Kg,https://www.carandbike.com/benelli-bikes/tnt-600i
99,Honda CBR 1000RR,"₹ 16,43,309",999.0 CC,18 Km/l,195 Kg,https://www.carandbike.com/honda-bikes/cbr-1000rr
100,Yezdi Roadster,"₹ 1,98,142",334.0 CC,N/A,184 Kg,https://www.carandbike.com/yezdi-bikes/roadster
101,Suzuki Avenis,"₹ 86,500",124.3 CC,55 Km/l,106 Kg,https://www.carandbike.com/suzuki-bikes/avenis
102,TVS Scooty Pep +,"₹ 52,554",87.8 CC,65 Km/l,95 Kg,https://www.carandbike.com/tvs-bikes/scooty-pep-plus
103,TVS Apache RR 310,"₹ 2,59,000",312.2 CC,30 Km/l,170 Kg,https://www.carandbike.com/tvs-bikes/apache-rr-310
104,Ola Electric S1,"₹ 85,099",NA,181 Km/Full Charge,121 Kg,https://www.carandbike.com/ola-electric-bikes/s1
105,KTM 200 Duke,"₹ 1,90,000",199.5 CC,35 Km/l,159 Kg,https://www.carandbike.com/ktm-bikes/200-duke
106,Suzuki Gixxer SF 250,"₹ 1,81,900",249.0 CC,38.5 Km/l,161 Kg,https://www.carandbike.com/suzuki-bikes/gixxer-sf-250
107,Kawasaki Ninja ZX-10R,"₹ 15,37,000",998.0 CC,15 Km/l,206 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-zx-10r
108,BMW S 1000 RR,"₹ 19,50,000",999.0 CC,17 Km/l,197 Kg,https://www.carandbike.com/bmw-bikes/s-1000-rr
109,Suzuki Burgman,"₹ 84,300",124.0 CC,53.5 Km/l,110 Kg,https://www.carandbike.com/suzuki-bikes/burgman
110,Tork Motors Kratos,"₹ 1,02,499",NA,120 Km/Full Charge,120 Kg,https://www.carandbike.com/tork-motors-bikes/kratos
111,Bajaj Dominar 250,"₹ 1,54,176",248.8 CC,35 Km/l,180 Kg,https://www.carandbike.com/bajaj-bikes/dominar-250
112,TVS Star City +,"₹ 65,865",109.7 CC,86 Km/l,116 Kg,https://www.carandbike.com/tvs-bikes/star-city-plus
113,TVS Apache RTR 180,"₹ 1,03,950",177.4 CC,47 Km/l,139 Kg,https://www.carandbike.com/tvs-bikes/apache-rtr-180
114,Bajaj CT 110,"₹ 46,413",115.0 CC,104 Km/l,117 Kg,https://www.carandbike.com/bajaj-bikes/ct-110
115,Yamaha FZ-X,"₹ 1,16,800",149.0 CC,N/A,139 Kg,https://www.carandbike.com/yamaha-bikes/fz-x
116,Bajaj Avenger Street 160,"₹ 1,01,094",160.3 CC,45 Km/l,156 Kg,https://www.carandbike.com/bajaj-bikes/avenger-street-160
117,Hero Electric Photon HX,"₹ 74,240",NA,108 Km/Full Charge,87 Kg,https://www.carandbike.com/hero-electric-bikes/photon-hx
118,Kawasaki Ninja 650,"₹ 6,68,000",649.0 CC,21 Km/l,196 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-650
119,TVS Victor,"₹ 54,042",109.7 CC,72 - 76 Km/l,112 Kg,https://www.carandbike.com/tvs-bikes/victor
120,Atumobile Atum 1.0,"₹ 50,000",NA,100 Km/Full Charge,108 Kg,https://www.carandbike.com/atumobile-bikes/atum-10
121,Honda Grazia,"₹ 82,566",124.0 CC,54 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/grazia
122,Bajaj Chetak,"₹ 1,00,000",NA,95 Km/Full Charge,100 Kg,https://www.carandbike.com/bajaj-bikes/chetak
123,Okinawa Praise,"₹ 71,990",NA,170 Km/Full Charge,96 Kg,https://www.carandbike.com/okinawa-bikes/praise
124,Oben Electric Rorr,"₹ 1,02,999",NA,200 Km/Full Charge,120 Kg,https://www.carandbike.com/oben-electric-bikes/rorr
125,Bajaj Avenger Street 220,"₹ 1,03,891",220.0 CC,45 Km/l,150 Kg,https://www.carandbike.com/bajaj-bikes/avenger-street-220
126,JAWA Perak,"₹ 2,08,187",334.0 CC,35 Km/l,175 Kg,https://www.carandbike.com/jawa-bikes/perak
127,Bajaj Pulsar RS 200,"₹ 1,52,179",199.5 CC,35 Km/l,165 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-rs-200
128,Piaggio Vespa,"₹ 91,492",125.0 CC,45 Km/l,114 Kg,https://www.carandbike.com/piaggio-bikes/vespa
129,BMW R 1250 GS,"₹ 20,45,000",1254.0 CC,21 Km/l,249 Kg,https://www.carandbike.com/bmw-bikes/r-1250-gs
130,Suzuki Intruder,"₹ 1,26,500",154.9 CC,44 Km/l,152 Kg,https://www.carandbike.com/suzuki-bikes/intruder
131,KTM 125 Duke,"₹ 1,76,000",124.7 CC,34.5 Km/l,148 Kg,https://www.carandbike.com/ktm-bikes/125-duke
132,Honda Gold Wing,"₹ 39,71,822",1833.0 CC,14 Km/l,390 Kg,https://www.carandbike.com/honda-bikes/gold-wing
133,TVS Jupiter 125,"₹ 73,400",124.8 CC,50 Km/l,109 Kg,https://www.carandbike.com/tvs-bikes/jupiter-125
134,Suzuki Gixxer,"₹ 1,18,800",154.9 CC,64 Km/l,140 Kg,https://www.carandbike.com/suzuki-bikes/gixxer
135,Aprilia SR 150,"₹ 75,733",154.8 CC,40 Km/l,122 Kg,https://www.carandbike.com/aprilia-bikes/sr-150
136,Honda CB200X,"₹ 1,44,500",184.4 CC,N/A,147 Kg,https://www.carandbike.com/honda-bikes/cb200x
137,Husqvarna Svartpilen 250,"₹ 2,18,000",248.8 CC,35 Km/l,154 Kg,https://www.carandbike.com/husqvarna-bikes/svartpilen-250
138,TVS Scooty Zest 110,"₹ 59,925",109.7 CC,62 Km/l,97 Kg,https://www.carandbike.com/tvs-bikes/scooty-zest-110
139,Yamaha R15S V3.0,"₹ 1,58,939",155.0 CC,N/A,142 Kg,https://www.carandbike.com/yamaha-bikes/r15s-v30
140,Kawasaki Ninja 400,"₹ 4,99,000",399.0 CC,25 Km/l,173 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-400
141,Kawasaki Z900,"₹ 8,50,000",948.0 CC,15 Km/l,208 Kg,https://www.carandbike.com/kawasaki-bikes/z900
142,Kawasaki Ninja 1000,"₹ 11,51,000",1043.0 CC,17 Km/l,238 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-1000
143,Yamaha FZ V3.0 FI,"₹ 99,200",149.0 CC,45 Km/l,137 Kg,https://www.carandbike.com/yamaha-bikes/fz-v30-fi
144,Honda H Ness CB 350,"₹ 1,96,239",348.4 CC,42 Km/l,181 Kg,https://www.carandbike.com/honda-bikes/h-ness-cb-350
145,Indian Scout Bobber,"₹ 11,99,000",1133.0 CC,14 Km/l,245 Kg,https://www.carandbike.com/indian-bikes/scout-bobber
146,BMW R nine T,"₹ 18,50,000",1170.0 CC,22 Km/l,208 Kg,https://www.carandbike.com/bmw-bikes/r-nine-t
147,Yamaha Fazer 25,"₹ 1,44,180",249.0 CC,43 Km/l,154 Kg,https://www.carandbike.com/yamaha-bikes/fazer-25
148,Kawasaki Ninja H2,"₹ 34,99,000",998.0 CC,15 Km/l,238 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-h2
149,JAWA 42,"₹ 1,93,142",293.0 CC,37 Km/l,170 Kg,https://www.carandbike.com/jawa-bikes/42
150,Bajaj Dominar 400 [2019],"₹ 2,02,755",373.3 CC,27 Km/l,184 Kg,https://www.carandbike.com/bajaj-bikes/dominar-400-2019
151,Hero Electric NYX HX,"₹ 67,540",NA,165 Km/Full Charge,73 Kg,https://www.carandbike.com/hero-electric-bikes/nyx-hx
152,TVS Apache RTR 200 4V,"₹ 1,29,315",197.8 CC,32 Km/l,149 Kg,https://www.carandbike.com/tvs-bikes/apache-rtr-200-4v
153,Kawasaki Z1000,"₹ 15,10,000",1043.0 CC,15 Km/l,221 Kg,https://www.carandbike.com/kawasaki-bikes/z1000
154,Gravton Motors Quanta,"₹ 99,000",NA,320 Km/Full Charge,100 Kg,https://www.carandbike.com/gravton-motors-bikes/quanta
155,Kawasaki Z250,"₹ 3,08,000",249.0 CC,26 Km/l,168 Kg,https://www.carandbike.com/kawasaki-bikes/z250
156,BMW G 310 GS,"₹ 2,90,000",313.0 CC,30 Km/l,169 Kg,https://www.carandbike.com/bmw-bikes/g-310-gs
157,Benelli Imperiale 400,"₹ 1,89,799",374.0 CC,31.25 Km/l,205 Kg,https://www.carandbike.com/benelli-bikes/imperiale-400
158,Husqvarna Vitpilen 250,"₹ 2,15,000",248.8 CC,35 Km/l,152 Kg,https://www.carandbike.com/husqvarna-bikes/vitpilen-250
159,MV Agusta F3 800 RC,"₹ 21,49,086",798.0 CC,14 Km/l,173 Kg,https://www.carandbike.com/mv-agusta-bikes/f3-800-rc
160,Yezdi Scrambler,"₹ 2,04,900",334.0 CC,N/A,182 Kg,https://www.carandbike.com/yezdi-bikes/scrambler
161,Yamaha FZS 25,"₹ 1,43,300",249.0 CC,43 Km/l,154 Kg,https://www.carandbike.com/yamaha-bikes/fzs-25
162,BMW R 1200,"₹ 15,85,000",1170.0 CC,18 - 24 Km/l,244 Kg,https://www.carandbike.com/bmw-bikes/r-1200
163,Harley-Davidson Fat Boy,"₹ 18,25,000",1868.0 CC,15 Km/l,304 Kg,https://www.carandbike.com/harley-davidson-bikes/fat-boy
164,BMW K 1600,"₹ 28,30,000",1649.0 CC,15 Km/l,350 Kg,https://www.carandbike.com/bmw-bikes/k-1600
165,Honda CB300R,"₹ 2,77,000",286.0 CC,30.2 Km/l,146 Kg,https://www.carandbike.com/honda-bikes/cb300r
166,Hero Electric Atria LX,"₹ 66,640",NA,85 Km/Full Charge,69 Kg,https://www.carandbike.com/hero-electric-bikes/atria-lx
167,Triumph Tiger 1200,"₹ 19,19,000",1160.0 CC,18 Km/l,245 Kg,https://www.carandbike.com/triumph-bikes/tiger-1200
168,Harley-Davidson Iron 883,"₹ 9,38,000",883.0 CC,20 Km/l,256 Kg,https://www.carandbike.com/harley-davidson-bikes/iron-883
169,Yezdi Adventure,"₹ 2,09,900",334.0 CC,N/A,188 Kg,https://www.carandbike.com/yezdi-bikes/adventure
170,Hero Electric Flash LX,"₹ 59,640",NA,85 Km/Full Charge,69 Kg,https://www.carandbike.com/hero-electric-bikes/flash-lx
171,Kawasaki Ninja ZX-10RR,"₹ 16,98,000",998.0 CC,15 Km/l,206 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-zx-10rr
172,KTM 250 Adventure,"₹ 2,42,000",248.0 CC,35 Km/l,177 Kg,https://www.carandbike.com/ktm-bikes/250-adventure
173,JAWA 300,"₹ 1,80,415",293.0 CC,37.5 Km/l,170 Kg,https://www.carandbike.com/jawa-bikes/300
174,Harley-Davidson CVO Limited,"₹ 49,99,000",1923.0 CC,8 Km/l,411 Kg,https://www.carandbike.com/harley-davidson-bikes/cvo-limited
175,Honda CRF1000L Africa Twin,"₹ 13,50,000",999.1 CC,16 Km/l,243 Kg,https://www.carandbike.com/honda-bikes/crf1000l-africa-twin
176,Okinawa Okhi 90,"₹ 1,03,866",NA,160 Km/Full Charge,96 Kg,https://www.carandbike.com/okinawa-bikes/okhi-90
177,Kawasaki Ninja ZX-6R,"₹ 10,49,000",636.0 CC,23.59 Km/l,196 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-zx-6r
178,Ducati Panigale V4,"₹ 23,50,000",1103.0 CC,14.5 Km/l,195 Kg,https://www.carandbike.com/ducati-bikes/panigale-v4
179,Honda CBR650R,"₹ 9,35,000",648.7 CC,25 Km/l,211 Kg,https://www.carandbike.com/honda-bikes/cbr650r
180,BMW R 1250 GS Adventure,"₹ 22,40,000",1254.0 CC,21 Km/l,268 Kg,https://www.carandbike.com/bmw-bikes/r-1250-gs-adventure
181,Harley-Davidson Roadster,"₹ 10,99,000",1202.0 CC,20 Km/l,250 Kg,https://www.carandbike.com/harley-davidson-bikes/roadster
182,Kawasaki KLX 110,"₹ 2,99,500",112.0 CC,80 Km/l,76 Kg,https://www.carandbike.com/kawasaki-bikes/klx-110
183,TVS Apache RTR 165 RP,"₹ 1,45,001",164.9 CC,N/A,148 Kg,https://www.carandbike.com/tvs-bikes/apache-rtr-165-rp
184,Ducati Monster 797,"₹ 8,03,000",803.0 CC,18.86 Km/l,193 Kg,https://www.carandbike.com/ducati-bikes/monster-797
185,Aprilia SR 160,"₹ 1,17,494",160.0 CC,35 Km/l,122 Kg,https://www.carandbike.com/aprilia-bikes/sr-160
186,Kawasaki Z1000R,"₹ 16,10,000",1043.0 CC,15 Km/l,221 Kg,https://www.carandbike.com/kawasaki-bikes/z1000r
187,BMW S 1000 R,"₹ 17,90,000",999.0 CC,21 Km/l,199 Kg,https://www.carandbike.com/bmw-bikes/s-1000-r
188,Odysse Evoqis,"₹ 1,57,000",NA,N/A,200 Kg,https://www.carandbike.com/odysse-bikes/evoqis
189,MV Agusta Brutale 800 RR,"₹ 20,52,356",798.0 CC,18 Km/l,175 Kg,https://www.carandbike.com/mv-agusta-bikes/brutale-800-rr
190,Bajaj Pulsar F250,"₹ 1,40,000",249.1 CC,40 Km/l,164 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-f250
191,Ampere V48,"₹ 38,719",NA,45 Km/Full Charge,84 Kg,https://www.carandbike.com/ampere-bikes/v48
192,Ducati Monster 821,"₹ 10,99,000",821.0 CC,13 - 18.51 Km/l,205 Kg,https://www.carandbike.com/ducati-bikes/monster-821
193,Kawasaki Ninja ZX-14R,"₹ 19,70,000",1441.0 CC,18 Km/l,269 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-zx-14r
194,Aprilia RSV4,"₹ 23,69,000",1099.0 CC,12 Km/l,202 Kg,https://www.carandbike.com/aprilia-bikes/rsv4
195,BMW 850 GS,"₹ 12,50,000",853.0 CC,22 Km/l,229 Kg,https://www.carandbike.com/bmw-bikes/850-gs
196,Kabira Mobility KM 3000,"₹ 1,26,990",NA,120 Km/Full Charge,150 Kg,https://www.carandbike.com/kabira-mobility-bikes/km-3000
197,BMW 750 GS,"₹ 8,99,000",853.0 CC,22 Km/l,224 Kg,https://www.carandbike.com/bmw-bikes/750-gs
198,Ampere Reo,"₹ 44,838",NA,45 - 55 Km/Full Charge,70 Kg,https://www.carandbike.com/ampere-bikes/reo
