,Model Name,Price,CC,Mileage,Weight,Links
1600,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
1601,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
1602,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
1603,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
1604,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
1605,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
1606,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
1607,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
1608,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
1609,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1610,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
1611,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
1612,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
1613,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
1614,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
1615,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
1616,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
1617,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
1618,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
1619,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
1620,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
1621,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1622,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
1623,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
1624,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
1625,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
1626,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
1627,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
1628,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
1629,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
1630,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
1631,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
1632,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
1633,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1634,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
1635,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
1636,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
1637,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
1638,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
1639,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
1640,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
1641,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
1642,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
1643,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
1644,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
1645,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1646,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
1647,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
1648,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
1649,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
1650,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
1651,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
1652,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
1653,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
1654,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
1655,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
1656,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
1657,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1658,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
1659,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
1660,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
1661,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
1662,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
1663,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
1664,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
1665,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
1666,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
1667,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
1668,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
1669,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1670,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
1671,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
1672,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
1673,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
1674,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
1675,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
1676,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
1677,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
1678,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
1679,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
1680,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
1681,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1682,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
1683,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
1684,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
1685,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
1686,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
1687,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
1688,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
1689,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
1690,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
1691,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
1692,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
1693,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1694,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
1695,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
1696,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
1697,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
1698,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
1699,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
1700,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
1701,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
1702,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
1703,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
1704,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
1705,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1706,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
1707,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
1708,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
1709,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
1710,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
1711,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
1712,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
1713,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
1714,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
1715,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
1716,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
1717,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1718,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
1719,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
1720,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
1721,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
1722,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
1723,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
1724,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
1725,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
1726,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
1727,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
1728,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
1729,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1730,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
1731,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
1732,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
1733,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
1734,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
1735,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
1736,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
1737,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
1738,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
1739,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
1740,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
